"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2662","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/209875","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","13-Aug-2026","UMESH AJJAPPA GANGANI","Payment In-Progress","750000"
"2663","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","Rasida","Payment In-Progress","3705"
"2664","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","suleman","Payment In-Progress","3600"
"2665","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","04-Sep-2026","MADHURI","Payment In-Progress","3705"
"2666","Gujarat","Construction of buildings for community cultural activities","WS/MP584/2025-2026/216917","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","07-Sep-2026","MORAGAR JUTH GRAM PANCHAYAT","Payment In-Progress","400000"
"2667","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18111/2026-2027/276690","AKOLA(DISTRICT COLLECTOR AKOLA_IDA)","ANUP SANJAY DHOTRE","AKOLA","03-Sep-2026","GRAM PANCHAYAT KANZARA 14TH  FINANCE COMMISSION","Payment In-Progress","976283"
"2668","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2024-2025/133592","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","06-Sep-2026","GRAM PANCHAYAT KHARWA","Payment In-Progress","249291"
"2669","West Bengal","Purchase of non-conventional energy system and devices for community use","WS/MP18245/2026-2027/245368","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","BAG MITALI","ARAMBAG(SC)","13-Aug-2026","SIBSANKAR CHOWDHURY","Payment In-Progress","1299000"
"2670","Karnataka","Lighting of public spaces","WS/MP18081/2026-2027/164572","CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA)","DR.K.SUDHAKAR","CHIKBALLAPUR","27-Aug-2026","Suryanarayana Bagepalli","Payment In-Progress","125000"
"2671","Haryana","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18060/2025-2026/227227","AMBALA(DEPUTY COMMISSIONER AMBALA_IDA)","VARUN CHAUDHRY","AMBALA (SC)","17-Aug-2026","Saurabh Verma","Payment In-Progress","465268"
"2672","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP18104/2026-2027/285646","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","25-Aug-2026","Sarpanch Gram Panchayat Somalwada","Payment In-Progress","50000"
"2673","Rajasthan","Construction of water tanks","WS/MP18170/2025-2026/168850","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","15-Aug-2026","VIVIKSHA CHOUDHARY","Payment In-Progress","1995"
"2674","Rajasthan","Construction of water tanks","WS/MP18170/2025-2026/168850","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","AMRARAM","SIKAR","15-Aug-2026","SURENDR KUMAR","Payment In-Progress","6125"
"2675","Gujarat","Construction of water tanks","WS/MP18055/2025-2026/181555","PANCH MAHALS(DISTRICT COLLECTOR PANCHMAHALS_IDA)","RAJPALSINH MAHENDRASINH JADAV","PANCHMAHAL","29-Aug-2026","GRAM PANCHAYAT TAJPUR CHHIPA","Payment In-Progress","100000"
"2676","Punjab","Providing drains and gutters for public drainage","WS/MP381/2025-2026/204165","AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA)","Shri Gurjeet Singh Aujla","AMRITSAR","31-Aug-2026","GURU RAM DASS PIPE AND TILE FACTORY","Payment In-Progress","200000"
"2677","West Bengal","Construction of buildings for community cultural activities","WS/MP852/2026-2027/231919","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","Abu Taher Khan","MURSHIDABAD","31-Aug-2026","RAFIUL ISLAM","Payment In-Progress","253660"
"2678","Uttar Pradesh","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP18205/2026-2027/258546","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","SANATAN PANDEY","BALLIA","14-Aug-2026","UNIQUE TECHNO SOLUTIONS PVT LTD","Payment In-Progress","200000"
"2679","Madhya Pradesh","Construction of community centers and community halls","WS/MP446/2026-2027/288486","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","07-Sep-2026","GRAM PANCHAYAT IMILIYA","Payment In-Progress","300000"
"2680","Punjab","Construction of toilet blocks","WS/MP18158/2026-2027/268503","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","01-Sep-2026","BARNALA BRICKS MANUFACTURE","Payment In-Progress","32398"
"2681","Madhya Pradesh","Construction of community centers and community halls","WS/MP446/2026-2027/288492","CHHATARPUR(District Collector Chhatarpur_IDA)","Vishnu Dutt Sharma","KHAJURAHO","08-Sep-2026","GRAM PANCHAYAT BUMHORI BAHADUR JU","Payment In-Progress","300000"
"2682","Punjab","Construction of toilet blocks","WS/MP18158/2026-2027/268503","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","01-Sep-2026","MAM RAJ","Payment In-Progress","35300"
