"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1192","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18152/2026-2027/293486","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","05-Sep-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1193","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/170223","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","07-Sep-2026","DISTRICT MINERAL FUND","Payment In-Progress","186"
"1194","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/198391","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","07-Sep-2026","DISTRICT MINERAL FUND","Payment In-Progress","198"
"1195","Odisha","Construction of community centers and community halls","WS/MP18148/2025-2026/237307","NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","09-Sep-2026","DISTRICT MINERAL FUND","Payment In-Progress","544"
"1196","Rajasthan","Construction of culverts and bridges","WS/MP18172/2024-2025/149101","DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","02-Sep-2026","BASER MATERIAL SUPPLIERS TALORA","Payment In-Progress","729806"
"1197","Kerala","Street lights","WS/MP348/2025-2026/180025","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Benny Behanan","CHALAKUDY","03-Sep-2026","KALLOOR ELECTRONICS AND  LIGHTING PVT LTD","Payment In-Progress","182918"
"1198","Kerala","Street lights","WS/MP348/2025-2026/168767","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Benny Behanan","CHALAKUDY","03-Sep-2026","KALLOOR ELECTRONICS AND  LIGHTING PVT LTD","Payment In-Progress","182918"
"1199","Kerala","Street lights","WS/MP348/2025-2026/168769","THRISSUR(DISTRICT COLLECTOR THRISSUR_IDA)","Shri Benny Behanan","CHALAKUDY","05-Sep-2026","KALLOOR ELECTRONICS AND  LIGHTING PVT LTD","Payment In-Progress","182918"
"1200","West Bengal","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP498/2025-2026/188863","Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA)","Dr Sukanta Majumdar","BALURGHAT","05-Sep-2026","BOND CONSTRUCTION","Payment In-Progress","749126"
"1201","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240495","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","01-Aug-2026","JAI PRAKASH","Payment In-Progress","304777"
"1202","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18234/2025-2026/240496","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","01-Aug-2026","JAI PRAKASH","Payment In-Progress","300000"
"1203","Punjab","Fitting of Sitting RCC Benches in Public Places","WS/MP18152/2026-2027/274264","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","25-Aug-2026","GILL TRADING COMPANY","Payment In-Progress","150000"
"1204","Tamil Nadu","Street lights","WS/MP18175/2025-2026/221220","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","03-Sep-2026","AYODHYA ENTERPRISES","Payment In-Progress","464851"
"1205","Tamil Nadu","Street lights","WS/MP18175/2025-2026/221221","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","03-Sep-2026","AYODHYA ENTERPRISES","Payment In-Progress","464851"
"1206","Tamil Nadu","Street lights","WS/MP18175/2025-2026/221206","DHARMAPURI(DISTRICT COLLECTOR DHARMAPURI_IDA)","MANI. A.","DHARAMAPURI","03-Sep-2026","AYODHYA ENTERPRISES","Payment In-Progress","464851"
"1207","Kerala","Lighting of public spaces","WS/MP345/2024-2025/178041","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Shri NK Premachandran","KOLLAM","03-Sep-2026","SUNIL LAL S","Payment In-Progress","277803"
"1208","Punjab","Construction of community centers and community halls","WS/MP18311/2024-2025/143656","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","08-Sep-2026","Fateh Traders","Payment In-Progress","62390"
"1209","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229448","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","07-Sep-2026","DINESH KUMAR","Payment In-Progress","237716"
"1210","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/145458","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","18-Jul-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","96287"
"1211","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18352/2025-2026/175418","MAU(DISTRICT MAGISTRATE MAU_IDA)","RAJEEV RAI","GHOSI","08-Oct-2025","EXECUTIVE ENGINEER UPPCL EDD III EXP","Payment In-Progress","167287"
"1212","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/191728","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","05-Sep-2026","gram panchayat beena","Payment In-Progress","100000"
"1213","Uttar Pradesh","Purchase of books for public libraries/ digitization of library books","WS/MP18209/2026-2027/191690","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","07-Aug-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","851987"
"1214","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172109","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1215","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172108","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1216","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172107","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1217","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172121","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1218","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172120","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1219","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172112","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122123"
"1220","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172111","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1221","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172110","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1222","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172106","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122124"
"1223","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172118","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1224","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172117","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1225","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172116","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1226","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172115","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1227","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172114","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1228","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172113","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122510"
"1229","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172119","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1230","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172124","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1231","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172123","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1232","Madhya Pradesh","Street lights","WS/MP654/2025-2026/172122","UMARIA(District Collector Umariya_IDA)","Smt Himadri Singh","SHAHDOL (ST)","29-Aug-2026","MS SANJAY KUMAR TIWARI","Payment In-Progress","122018"
"1233","Chandigarh","Providing CCTV camera system for security of public areas","WS/MP18047/2026-2027/214614","CHANDIGARH(DEPUTY COMMISSIONER ZILLA PARISHAD CHANDIGARH_IDA)","MANISH TEWARI","CHANDIGARH","31-Aug-2026","Prabh Kirpa Enterprises","Payment In-Progress","499423"
"1234","Kerala","Lighting of public spaces","WS/MP18095/2026-2027/313067","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","09-Sep-2026","Multiline Ventures","Payment In-Progress","442390"
"1235","Kerala","Lighting of public spaces","WS/MP18095/2026-2027/274528","ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA)","K. C VENUGOPAL","ALAPPUZHA","05-Sep-2026","Multiline Ventures","Payment In-Progress","443794"
"1236","Madhya Pradesh","Construction of additional rooms and halls in the existing public and community building","WS/MP18100/2026-2027/269866","Pandhurna(District Collector Pandhurna_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","08-Sep-2026","TELI SAMAJ SANGHTAN PANDURNA","Payment In-Progress","600000"
"1237","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/227594","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","27-Jul-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","364828"
"1238","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/231542","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","27-Jul-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","398520"
"1239","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229436","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","27-Jul-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","350853"
"1240","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229438","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","27-Jul-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","52057"
"1241","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2026-2027/272778","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","25-Aug-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","556512"
"1242","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2026-2027/279381","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","25-Aug-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","428280"
"1243","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2026-2027/279380","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","25-Aug-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","505870"
"1244","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18030/2025-2026/233935","BHOJPUR(DISTRICT PLANNING OFFICER BHOJPUR ARRAH_IDA)","SUDAMA PRASAD","ARRAH","03-Sep-2026","ANNU PRIYA","Payment In-Progress","580106"
"1245","Bihar","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18030/2025-2026/233936","BHOJPUR(DISTRICT PLANNING OFFICER BHOJPUR ARRAH_IDA)","SUDAMA PRASAD","ARRAH","03-Sep-2026","ANNU PRIYA","Payment In-Progress","216571"
"1246","Bihar","Construction of common work sheds/ common covered sitting area","WS/MP18030/2026-2027/268687","BHOJPUR(DISTRICT PLANNING OFFICER BHOJPUR ARRAH_IDA)","SUDAMA PRASAD","ARRAH","03-Sep-2026","ANNU PRIYA","Payment In-Progress","568472"
"1247","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229434","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","02-Sep-2026","SATYAVER SIGH CONTRACTOR AND SUPPLIER","Payment In-Progress","263685"
"1248","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18104/2026-2027/285643","NARMADAPURAM(DISTRICT COLLECTOR NARMADAPURAM_IDA)","DARSHAN SINGH CHOUDHARY","HOSHANGABAD","02-Sep-2026","SARPANCH GRAM PANCHAYAT CHOURAHET","Payment In-Progress","80000"
"1249","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/231541","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","02-Sep-2026","Alka Agarwal","Payment In-Progress","149967"
"1250","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18155/2026-2027/296073","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","08-Sep-2026","Ashwani Kumar","Payment In-Progress","327607"
"1251","Maharashtra","Construction of community centers and community halls","WS/MP18112/2025-2026/258223","AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA)","BALWANT BASWANT WANKHADE","AMRAVATI(SC)","24-Aug-2026","JWALAMUKHI  JAGDAMBA MAJUR KAMGAR SAHAKARI SANSTHA","Payment In-Progress","970281"
"1252","Uttar Pradesh","Setting up public non-conventional energy plants","WS/MP18346/2026-2027/276401","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","07-Aug-2026","AADI AND RUDRANSH CONSTRUCTION COMPANY","Payment In-Progress","1795625"
"1253","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18049/2025-2026/181684","MUNGELI(Collector Mungeli_IDA)","TOKHAN SAHU","BILASPUR","27-Aug-2026","gram panchayat lilapur","Payment In-Progress","299467"
"1254","Jharkhand","Construction of public irrigation facilities","WS/MP437/2025-2026/187715","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","200000"
"1255","Jharkhand","Patrolling Vehicles to government institution for Public Conveniences, Safety and Security","WS/MP437/2025-2026/191027","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","200000"
"1256","Jharkhand","Construction of public irrigation facilities","WS/MP437/2025-2026/187716","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","200000"
"1257","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP437/2025-2026/190593","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","749921"
"1258","Jharkhand","Construction of community centers and community halls","WS/MP437/2025-2026/183828","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","400000"
"1259","Jharkhand","Construction of public irrigation facilities","WS/MP437/2025-2026/183830","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","200000"
"1260","Jharkhand","Installing tube-wells and borewells","WS/MP437/2025-2026/257723","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","150000"
"1261","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP437/2025-2026/257020","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","450000"
"1262","Jharkhand","Construction of community centers and community halls","WS/MP437/2025-2026/254977","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","499951"
"1263","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP437/2025-2026/254971","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","450000"
"1264","Jharkhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP437/2025-2026/191967","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","300000"
"1265","Jharkhand","Construction of community centers and community halls","WS/MP437/2025-2026/241446","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","364521"
"1266","Jharkhand","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP437/2025-2026/241447","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","449927"
"1267","Jharkhand","Construction of community centers and community halls","WS/MP437/2025-2026/241445","GARHWA(Deputy Commissioner garhwa_IDA)","Vishnu Dayal Ram","PALAMU(SC)","09-Sep-2026","JE NREP MP GARHWA","Payment In-Progress","364521"
